,ADD_DATE,APPLIANCES,BACK-HOE,BAKERY PRODUCTS,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,DRY GOODS,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,FURNITURE,GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INDUSTRIAL PIPE,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,SCRAP METAL,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,01-JUN-74,,,,False,True,A,False,False,False,,,101332,False,9,,SDITCHER@ATLANTICCONCRETE.COM,False,(215) 945-5016,False,,False,False,N,False,0,0,0,0,0,0,,False,ATLANTIC CONCRETE PRODUCTS INC,False,False,,0,0,0,0,0,0,0,0,0,,TULLYTOWN,US,PA,PO BOX 129,19007-0129,06-APR-21,440000.0,2018.0,False,,False,False,0,0,0,0,0,0,7,PA,False,False,False,False,N,TULLYTOWN,US,PA,8900 OLD RT  13,19007-0129,440000,2018,False,,0,0,0,0,0,0,0,0,0,0,0,0,(215) 945-5600,19,0,0,0,7,0,False,False,5700,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
1,21-MAR-02,,,,False,,A,False,False,False,,,1013323,False,3,,DTHOMAS@MOUNTAINWESTTC.COM,False,(801) 508-7884,False,,True,False,N,False,0,0,0,0,0,0,,False,MOUNTAIN WEST TRUCK CENTER INC,False,False,,0,0,0,0,0,0,0,0,0,,WEST VALLEY,US,UT,7114 W SR201 N FRONTAGE RD,84128,07-MAR-22,20000.0,2021.0,False,,False,False,0,0,0,0,0,0,3,UT,False,False,False,False,N,WEST VALLEY,US,UT,7114 W SR201 N FRONTAGE RD,84128,20000,2021,False,,0,0,0,0,0,0,0,0,0,0,0,0,(801) 975-0380,0,0,0,3,0,0,False,False,5701,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
2,21-MAR-02,,,,False,,A,False,False,False,,,1013326,False,1,,MAMAJONES6@AOL.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,,False,A & B CORE NJ LLC,False,False,,0,0,0,0,0,0,0,0,0,,WHIPPANY,US,NJ,5 BEHRENS DR,07981-1306,15-JUN-22,30000.0,2017.0,False,,False,False,0,0,0,0,0,0,1,NJ,False,False,False,False,N,WHIPPANY,US,NJ,5 BEHRENS DR,07981-1306,30000,2017,False,True,0,0,0,0,0,0,0,0,0,1,0,0,(973) 277-3760,0,0,0,0,0,0,False,False,5702,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
3,21-MAR-02,,,,False,,A,False,False,False,,,1013332,False,7,,CLUMM@EMERALDSP.COM,False,(248) 720-0575,False,,False,False,N,False,0,0,0,0,0,0,,False,EMERALD STEEL PROCESSING,False,False,,0,0,0,0,0,0,0,0,0,,MADISON HEIGHTS,US,MI,31650 STEPHENSON HWY,48071,27-JAN-21,150000.0,2021.0,False,True,False,False,0,0,0,0,0,0,8,MI,False,False,False,False,N,MADISON HEIGHTS,US,MI,31650 STEPHENSON HWY,48071,150000,2021,False,,0,0,0,0,0,0,0,0,0,0,0,0,(248) 720-0573,7,0,0,7,1,0,False,False,5703,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
4,21-MAR-02,,,,False,,A,False,False,False,,,1013338,False,1,,BOMMERFARMSANDTRUCKING@YAHOO.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,,False,BOMMER FARMS & TRUCKING LLC,False,False,,0,0,0,0,0,0,0,0,0,True,BROOKVILLE,US,IN,11020 URBAN RD,47012,22-APR-22,50000.0,2021.0,False,,False,False,0,0,0,0,0,0,1,IN,False,False,False,False,N,BROOKVILLE,US,IN,11020 URBAN RD,47012,50000,2021,False,,0,0,0,0,0,0,0,0,0,0,0,0,(765) 647-0741,1,0,0,1,0,0,False,False,5704,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
5,21-MAR-02,,,,False,,B,False,False,False,,,1013339,False,2,,,False,(425) 339-1244,False,,False,False,N,False,0,0,0,0,0,0,,False,EVERETT CARBONIC,True,False,,0,0,0,0,0,0,0,0,0,,EVERETT,US,WA,2022 BROADWAY,98201-2318,02-OCT-09,20000.0,2001.0,False,,False,False,0,0,0,0,0,0,3,WA,False,False,False,False,N,EVERETT,US,WA,2022 BROADWAY,98201-2318,20000,2001,False,,0,0,0,0,0,0,0,0,0,3,0,0,(425) 252-9490,0,0,0,0,0,0,False,False,5705,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
6,21-MAR-02,,,,False,,C,False,False,False,,,1013340,False,1,,,False,,False,,False,False,N,False,0,0,0,0,0,0,,False,NEE-SHAY TRANSPORTATION INC,False,False,,0,0,0,0,0,0,0,0,0,,SHARPSBURG,US,GA,47 BRAVES CROSSING CT,30277,,0.0,,False,,False,True,0,0,0,0,0,0,1,GA,False,False,False,False,N,SHARPSBURG,US,GA,47 BRAVES CROSSING CT,30277,0,0,False,,0,0,0,0,0,0,0,0,0,1,0,0,(770) 252-6164,0,0,0,0,0,0,False,False,5706,,0,0,0,0,0,0,False,False,False,False,False,False,False
7,21-MAR-02,,,,False,,A,False,False,False,,,1013344,False,8,,DIRTWORKS5@GMAIL.COM,False,(765) 468-8520,False,,False,False,N,False,0,0,0,0,0,0,,False,DIRT WORKS & ASPHALT PAVING INC,False,False,,0,0,0,0,0,0,0,0,0,True,PARKERCITY,US,IN,887 N 1100 W,47368,04-OCT-21,75000.0,2015.0,False,,False,False,0,0,0,0,0,0,5,IN,False,False,False,False,N,PARKERCITY,US,IN,887 N 1100 W,47368,75000,2015,False,,0,0,0,0,0,0,0,0,0,5,0,0,(765) 468-8500,3,0,0,0,0,0,False,False,5707,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,21-MAR-02,,,,False,,C,False,False,False,,,1013352,False,1,,PINEROCK@ONLINENW.COM,False,,False,,True,False,N,False,0,0,0,0,0,0,,False,PINE ROCK LLC,False,False,,0,0,0,0,0,0,0,0,0,,SILVERTON,US,OR,16447 ABIQUA RD NE,97381,30-AUG-11,4600.0,2010.0,False,,False,False,0,0,0,0,0,0,1,OR,False,False,False,False,N,SILVERTON,US,OR,16447 ABIQUA RD NE,97381,0,0,False,,0,0,0,0,0,0,0,0,0,1,0,0,(503) 873-7232,2,0,0,0,0,0,False,False,5708,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,21-MAR-02,,,,False,,A,False,False,False,,STANLEY SCHNUG TRUCKING,1013353,False,3,,JSSCHNUG@AOL.COM,False,(307) 632-5152,False,,True,False,N,False,0,0,0,0,0,0,,False,STANLEY SCHNUG,False,False,,0,0,0,0,0,0,0,0,0,,CHEYENNE,US,WY,532 WEATHERBY DR,82007,31-MAR-21,150000.0,2020.0,False,,False,False,0,0,0,0,0,0,3,WY,False,False,False,False,N,CHEYENNE,US,WY,532 WEATHERBY DR,82007,150000,2020,False,,0,0,0,0,0,0,0,0,0,0,0,0,(970) 218-6752,3,4,0,1,2,0,False,False,5709,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
