,ADD_DATE,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LANDSCAPE EQUIPMENT,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,POTATOES,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,RECYCLABLE MATERIAL ,REFRIGERATED FOOD,SAND,SAND AND GRAVEL,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER,WATER WELL,WOOD CHIPS WOOD,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,08-MAR-02,False,,C,False,False,False,,,1010156,False,1,,False,,False,True,False,N,False,0,0,0,0,0,0,False,,WILLIAM F BUEGE,False,False,,0,0,0,0,0,0,0,0,0,,MEQUON,US,WI,13812 N GREEN BAY ROAD,53097,28-JUN-07,0.0,,False,,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,MEQUON,US,WI,13812 N GREEN BAY ROAD,53097,,0,0,,False,,,0,0,0,0,0,0,0,0,0,1,0,0,(262) 377-8733,0,0,0,0,0,0,False,False,4300,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
1,08-MAR-02,False,,C,False,False,False,,PHILLIPS TRUCKING,1010157,False,1,PHILLIPSTRKG2@AOL.COM ,False,,False,False,False,N,False,0,0,0,0,0,0,False,,DAVID PHILLIPS TRUCKING,False,False,True,0,0,0,0,0,0,0,0,0,,BIG LAKE,US,MN,18257 235TH AVE NW,55309,13-NOV-08,47800.0,2006.0,False,,False,False,0,0,0,0,0,0,13,MN,False,False,False,False,N,BIG LAKE,US,MN,18257 235TH AVE NW,55309,,0,0,,False,,,0,0,0,0,0,0,0,0,0,0,0,0,(612) 282-1137,0,0,0,1,12,0,False,False,4301,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
2,08-MAR-02,False,,C,False,False,False,True,,1010158,False,1,,False,,False,False,False,N,False,0,0,0,0,0,0,False,,J D TRUCKING INC,False,False,,0,0,0,0,0,0,0,0,0,,PEARL RIVER,US,LA,71034 HWY 41,70452,13-SEP-21,75000.0,2021.0,False,,False,False,0,0,0,0,0,0,1,LA,False,False,False,False,N,PEARL RIVER,US,LA,71034 HWY 41,70452,,75000,2021,,False,,,0,0,0,0,0,0,0,0,0,0,0,0,(985) 250-9223,1,0,0,1,0,0,False,False,4302,1.0,0,0,0,0,0,0,,False,,False,False,False,False,False,False
3,08-MAR-02,False,,C,False,False,False,,,1010160,False,1,,False,,False,False,True,N,False,0,0,0,0,0,0,False,,DENNIS A WOLFF,False,False,,0,0,0,0,0,0,0,0,0,,GRAFTON,US,WI,6625 PLEASANT VALLEY ROAD,53024,26-SEP-01,500.0,2000.0,False,,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,GRAFTON,US,WI,6625 PLEASANT VALLEY ROAD,53024,,0,0,,False,,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,False,False,4303,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
4,08-MAR-02,False,,C,False,False,False,,,1010163,False,1,,True,,False,False,False,N,False,0,0,0,0,0,0,False,,RONALD LEE SAKRY,False,False,,0,0,0,0,0,0,0,0,0,,DEER CREEK,US,MN,31757 STATE HWY 106,56527,04-OCT-12,6000.0,2011.0,False,,False,False,0,0,0,0,0,0,1,MN,False,False,False,False,N,DEER CREEK,US,MN,31757 STATE HWY 106,56527,,0,0,,False,,,0,0,0,0,0,0,0,0,0,0,0,0,(218) 462-2511,2,0,0,1,0,0,False,False,4304,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
5,08-MAR-02,False,,C,False,False,False,,,1010167,False,2,OTSNOWSERVICES@GMAIL.COM ,False,,False,False,True,N,False,0,0,0,0,0,0,False,,RONALD H BRANDT,False,False,,0,0,0,0,0,0,0,0,0,,CEDARBURG,US,WI,695 CEDAR CREEK RD,53012-9600,04-FEB-21,1.0,2021.0,False,,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,CEDARBURG,US,WI,695 CEDAR CREEK RD,53012-9600,,1,2021,,False,,,0,0,0,0,0,0,0,0,0,1,0,0,(262) 853-8805,0,0,0,0,0,0,False,False,4305,1.0,0,0,0,0,0,0,,False,,False,False,False,False,False,False
6,08-MAR-02,False,,C,False,False,False,,COMPLETE LANDSCAPE GROUP,1010168,False,1,COMPANY-99@YAHOO.COM,False,,False,False,False,N,False,0,0,0,0,0,0,False,True,CORY D HUNT,False,False,,0,0,0,0,0,0,0,0,0,,DACULA,US,GA,PO BOX 9182,30065,,0.0,,False,,False,False,0,0,0,0,0,0,1,GA,False,False,False,False,N,DACULA,US,GA,931 FERNBANK LANE,30019,,0,0,,False,,,0,0,0,0,0,0,0,0,0,1,0,0,(770) 579-9360,0,0,0,0,0,0,False,False,4306,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
7,08-MAR-02,False,,C,False,False,False,,,1010170,False,1,,False,,False,False,True,N,False,0,0,0,0,0,0,False,,GERALD A GANTNER,False,False,,0,0,0,0,0,0,0,0,0,,BELGIUM,US,WI,5746 HWY LL,53004,10-OCT-01,0.0,,False,,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,BELGIUM,US,WI,5746 HWY LL,53004,,0,0,,False,,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,False,False,4307,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
8,08-MAR-02,False,,C,False,False,False,,APPLELAND,1010177,False,1,,False,,True,False,False,N,False,0,0,0,0,0,0,False,,S ESPANTMAN,False,False,,0,0,0,0,0,0,0,0,0,,BELGIUM,US,WI,6330 HWY B,53004,11-OCT-01,0.0,,False,,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,BELGIUM,US,WI,6330 HWY B,53004,,0,0,,False,,,0,0,0,0,0,0,0,0,0,1,0,0,(262) 285-3222,0,0,0,0,0,0,False,False,4308,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
9,08-MAR-02,False,,C,False,False,False,,,1010178,False,1,,False,,False,False,True,N,False,0,0,0,0,0,0,False,,GERNDT FARMS,False,False,,0,0,0,0,0,0,0,0,0,,SURING,US,WI,12476 HILL ROAD,54174,24-JAN-01,10000.0,2000.0,False,,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,SURING,US,WI,12476 HILL ROAD,54174,,0,0,,False,,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,False,False,4309,,0,0,0,0,0,0,,False,,False,False,False,False,False,False
