,ADD_DATE,ANIMAL HIDES,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONCRETE,CONSTRUCTION,DBA_NAME,"DIRT, ROCK","DIRT, TRASH",DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FIREWOOD,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",GREEN GRASS,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,POTABLE WATER   FIRE ENGINE,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,RETAIL FURNITURE,ROAD BLDG MATERIALS,SCRAP METAL,SEWAGE,SOD AND POTTING SOIL ,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TRAILERS,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UNSPECIFIED,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,04-MAR-02,,False,,A,False,False,False,,,,,,1008519,False,2.0,AELLIS@MIDWAYTRAILERSALES.COM,False,(815) 434-1864,,False,,False,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,MIDWAY TRAILER SALES & SERVICE INC,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,BRIDGEVIEW,US,IL,7400 WEST 87TH ST,60455,21-SEP-21,300.0,2020.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,5.0,IL,False,False,False,False,N,BRIDGEVIEW,US,IL,7400 WEST 87TH ST,60455,,300,2020,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,(312) 287-4309,True,1.0,0.0,0.0,0.0,0.0,0.0,False,,False,3600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
1,05-MAR-02,,False,,A,False,False,False,,,,,,1008524,False,3.0,DESERTWESTEXPRESS@GMAIL.COM,False,,,False,,True,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,DESERT WEST EXPRESS LTD,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CHATHAM,CA,ON,802-45 RIVERVIEW DR,N7M 6B8,29-APR-22,5301.0,2021.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,6.0,MI,False,False,False,False,N,CHATHAM,CA,ON,802-45 RIVERVIEW DR,N7M 6B8,,5301,2021,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(647) 444-4286,,1.0,5.0,0.0,5.0,1.0,0.0,False,,False,3601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
2,05-MAR-02,,False,,A,False,False,False,,,,,,1008526,True,2.0,JHOLDER72@HOTMAIL.COM,False,(866) 372-8469,,False,,False,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,ALGONQUIN TOWING,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,BROCKVILLE,CA,ON,7331 DIXON RD,K6V 5T2,08-JUN-22,1.0,2021.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NY,False,False,False,False,N,BROCKVILLE,CA,ON,7331 DIXON RD,K6V 5T2,,1,2021,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,(613) 926-2628,,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,3602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
3,05-MAR-02,,False,,A,False,False,False,,,M PITTMAN ENTERPRISES,,,1008530,False,88.0,M.PITTMAN@MPITTMAN.NET,False,(703) 368-9894,,False,,False,False,,Y,False,72.0,6.0,0.0,0.0,0.0,0.0,False,M PITTMAN ENTERPRISES LC,True,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MANASSAS,US,VA,PO BOX 249,20108,10-OCT-22,5400000.0,2021.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,76.0,VA,False,False,False,False,N,MANASSAS,US,VA,9599 HAWKINS DR,20109,,6723553,2022,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,(703) 365-2120,,0.0,0.0,0.0,8.0,67.0,0.0,False,,False,3603,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
4,05-MAR-02,,False,,A,False,False,False,,,,,,1008536,False,3.0,RAYC@AMERICAN-LOCATORS.COM,False,(615) 361-5376,,False,,False,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,AMERICAN LOCATORS & RECOVERY INC,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,NASHVILLE,US,TN,PO BOX 171021,37217,01-JUN-21,19000.0,2020.0,False,,False,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TN,False,False,False,False,N,LEBANON,US,TN,1156 A PINE STREET,37087,,19000,2020,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,(615) 300-7553,,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,3604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
5,05-MAR-02,,False,,C,False,False,False,,,,,,1008537,False,2.0,CTHORT@MAC.CO,False,(860) 678-1782,,False,,False,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,GARDEN SANCTUARIES LLC,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,FARMINGTON,US,CT,PO BOX 1433,06034,24-OCT-11,20000.0,2010.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2.0,CT,False,False,False,False,N,FARMINGTON,US,CT,33 HIGH STREET,06032,,0,0,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,(860) 484-9053,,1.0,0.0,0.0,0.0,0.0,0.0,False,,False,3605,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
6,05-MAR-02,,False,,C,False,False,False,,,HOLMES TRUCKING,,,1008538,False,1.0,,False,,True,False,,False,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,WENDELL HOLMES,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,WICHITA,US,KS,240 NO ERIE,67214,30-DEC-02,30000.0,2002.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,KS,False,False,False,False,N,WICHITA,US,KS,240 NO ERIE,67214,,0,0,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,(316) 522-0798,,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,3606,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
7,05-MAR-02,,False,,B,False,False,False,,,,,,1008543,False,14.0,,False,,,False,,True,False,,N,False,0.0,0.0,0.0,2.0,0.0,0.0,False,TERRA EXCAVATING INC,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LARGO,US,FL,13400 PINE STREET SW,33774-1521,25-FEB-02,0.0,,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,14.0,FL,False,False,False,False,N,LARGO,US,FL,13400 PINE STREET SW,33774-1521,,0,0,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,(727) 581-1598,,8.0,0.0,0.0,4.0,0.0,0.0,False,,False,3607,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
8,05-MAR-02,,False,,A,False,False,False,,,,,,1008549,False,5.0,CARGOHAULERS@YAHOO.COM,False,(779) 552-8482,,False,,True,False,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,MR BILL'S COMMON CONTRACT CARRIER INC,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,BELVIDERE,US,IL,2412  RIDGEFIELD  DR,61008,18-JUL-22,353376.0,2021.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,6.0,IL,False,False,False,False,N,BELVIDERE,US,IL,2412  RIDGEFIELD  DR,61008,,353376,2021,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(815) 272-1141,,7.0,3.0,0.0,3.0,3.0,0.0,False,,False,3608,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
9,05-MAR-02,,False,,A,False,False,False,,,VILLAS PINESTRAW,,,1008550,False,3.0,DONNA@SAMROBERTSCPA.COM,False,(912) 383-8417,,False,,False,True,,N,False,0.0,0.0,0.0,0.0,0.0,0.0,False,RAMON RAMIREZ,False,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,DOUGLAS,US,GA,256 DEAD OAK RD,31533,06-JAN-22,50000.0,2021.0,False,,False,False,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GA,False,False,False,False,N,DOUGLAS,US,GA,256 DEAD OAK ROAD,31533,,50000,2021,False,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(912) 393-5190,,3.0,0.0,0.0,3.0,0.0,0.0,False,,False,3609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
