,ADD_DATE,ANTIFREEZE,ATHLETIC EQUIPMENT,BEVERAGES,BOULDERS ROCK,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DIRT GRAVEL,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,GENERAL FREIGHT,"GRAIN, FEED, HAY",GRASS,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LANDSCAPE MATERIALS (TREES AND PLANTS),LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PLANTS,POTTING SOIL,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,ROCK PRODUCTS,SLATE,"SOD, TREES",School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TREE DEBRIS/CHIPS,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,03-APR-02,,,False,,,C,False,False,False,,ALBERT BENNINGER FARMS,,1016818,False,1.0,,False,,False,False,True,,N,False,0,0,0,0,0,0,False,,ALBERT L BENNINGER,False,False,,0,0,0,0,0,0,0,0,0,,REESEVILLE,US,WI,W10284 CTH I,53579,14-AUG-01,0.0,,False,,False,False,0,0,0,0,0,0,1.0,WI,False,False,False,False,N,REESEVILLE,US,WI,W10284 CTH I,53579,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(920) 927-5244,,0,0,0,0,0,0,False,False,7200,,0,0,0,0,0,0,False,False,False,False,False,False,False
1,03-APR-02,,,False,,,C,False,False,False,,AMMONS TREE SERVICE,,1016819,False,2.0,,False,,False,False,False,,N,False,0,0,0,0,0,0,False,,THOMAS DAVID AMMONS,False,False,,0,0,0,0,0,0,0,0,0,,ALPHARETTA,US,GA,16325 WESTBROOK RD,30004,,40000.0,2001.0,False,,False,False,0,0,0,0,0,0,5.0,GA,False,False,False,False,N,BALL GROUND,US,GA,2737 HIGHTOWER ROAD,30107,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,5,0,0,(770) 889-6869,True,2,0,0,0,0,0,False,False,7201,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,03-APR-02,,,False,,,C,False,False,False,,,,1016820,False,19.0,CAROLYN@BOYDSELECTRICINC.COM,False,(402) 887-5317,False,True,False,,N,False,0,0,0,0,0,0,False,,BOYD'S ELECTRICAL SERVICE INC,False,False,,0,0,0,0,0,0,0,0,0,,CLEARWATER,US,NE,51976 HIGHWAY 275,68726,05-FEB-22,145250.0,2021.0,False,,False,False,0,0,0,0,0,0,10.0,NE,False,False,False,False,N,CLEARWATER,US,NE,51976 HIGHWAY 275,68726,,,145250,2021,False,,,,0,0,0,0,0,0,0,0,0,10,0,0,(402) 887-4653,,13,0,0,0,0,0,False,False,7202,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
3,03-APR-02,,,False,,,C,False,False,False,,GLEN HAKE FARMS,,1016821,False,2.0,,False,,False,False,False,,N,False,0,0,0,0,0,0,False,,GLEN HAKE,False,False,,0,0,0,0,0,0,0,0,0,True,CRESTON,US,NE,55868  824 ROAD,68631,,0.0,,False,,False,False,0,0,0,0,0,0,1.0,NE,False,False,False,False,N,CRESTON,US,NE,55868  824 ROAD,68631,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(402) 285-0238,,2,1,0,0,1,0,False,False,7203,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,03-APR-02,,,False,,,C,False,False,False,,,,1016822,False,1.0,,False,,False,False,True,,N,False,0,0,0,0,0,0,False,,JOSEPH D HASSLINGER,False,False,,0,0,0,0,0,0,0,0,0,,WATERTOWN,US,WI,N2913 WELSH ROAD,53098-3653,28-DEC-05,1000.0,2000.0,False,,False,False,0,0,0,0,0,0,3.0,WI,False,False,False,False,N,WATERTOWN,US,WI,N2913 WELSH ROAD,53098-3653,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(920) 696-3481,,1,0,0,1,0,0,False,False,7204,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,03-APR-02,,,False,,,C,False,False,False,,CHARLEY LLOYD CONSTRUCTION,,1016824,False,1.0,,False,,False,False,False,,N,False,0,0,0,0,0,0,False,,CHARLEY LLOYD,False,False,,0,0,0,0,0,0,0,0,0,True,CALLAWAY,US,NE,RR 1 BOX 194,68825,,0.0,,False,,False,False,0,0,0,0,0,0,,NE,False,False,False,False,N,CALLAWAY,US,NE,RR 1 BOX 194,68825,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(308) 836-2891,,0,0,0,0,0,0,False,False,7205,,0,0,0,0,0,0,False,False,False,False,False,False,False
6,03-APR-02,,,False,,,C,False,False,False,,,,1016825,False,4.0,,False,,False,False,False,,N,False,0,0,0,0,0,0,False,,W G A CONSTRUCTION INC,False,False,,0,0,0,0,0,0,0,0,0,,LINCOLN,US,NE,10520 WEEKS DRIVE,68516,,0.0,,False,True,False,False,0,0,0,0,0,0,4.0,NE,False,False,False,False,N,LINCOLN,US,NE,10520 WEEKS DRIVE,68516,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,4,0,0,(402) 423-2459,,3,0,0,0,0,0,False,False,7206,,0,0,0,0,0,0,False,False,False,False,False,False,False
7,03-APR-02,,,False,,,C,False,False,False,True,,,1016826,False,1.0,,False,,False,False,False,,N,False,0,0,0,0,0,0,False,,JIM LEONARD INC,False,False,,0,0,0,0,0,0,0,0,0,,FORTSON,US,GA,PO BOX 786,31808,,86000.0,2001.0,False,,False,False,0,0,0,0,0,0,1.0,GA,False,False,False,False,N,FORTSON,US,GA,2110 FORTSON RD,31808,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(706) 327-4018,,0,0,0,0,0,0,False,False,7207,,0,0,0,0,0,0,False,False,False,False,False,False,False
8,03-APR-02,,,False,,,C,False,False,False,,HEFTER FARMS,,1016827,False,1.0,RCHEFTER@GMAIL.COM,False,,False,False,True,,N,False,0,0,0,0,0,0,False,,RANDALL H HEFTER,False,False,,0,0,0,0,0,0,0,0,0,,BROWNSVILLE,US,WI,N2978 HWY 175,53006,13-SEP-22,10000.0,2021.0,False,,False,False,0,0,0,0,0,0,2.0,WI,False,False,False,False,N,BROWNSVILLE,US,WI,N2978 HWY 175,53006,,,10000,2021,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(920) 602-2957,,0,0,0,0,0,0,False,False,7208,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
9,03-APR-02,,,False,,,C,False,False,False,,,,1016828,False,7.0,,False,,False,True,False,,N,False,0,0,0,0,0,0,False,,BROWN'S,False,False,,0,0,0,0,0,0,0,0,0,,CURTIS,US,NE,23 CENTER AVENUE,69025-0131,,0.0,,False,,False,False,0,0,0,0,0,0,2.0,NE,False,False,False,False,N,CURTIS,US,NE,23 CENTER AVENUE,69025-0131,,,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(308) 367-8772,,0,0,0,1,0,0,False,False,7209,,0,0,0,0,0,0,False,False,False,False,False,False,False
