,ADD_DATE,ASPHALT &  ROCK,BEVERAGES,BUILDING MATERIALS,CARNIVAL,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOORS AND MOLDING,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FLOWERS,"FOG SEALER, EQUIPMENT",FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",GRASS CLIPPINGS,"GRAVEL, DIRT",HEAVY EQUIPMENT,HM_FLAG,HOUSE MOVER,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,MOBILE HOMES,MOTOR VEHICLES,MULCH,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PALLETS,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,ROCK & DIRT,"ROCK,DIRT,GRAVEL,SAND",SAND AND GRAVEL,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TOOLS,TOOLS ,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,29-JAN-02,,False,True,,C,False,False,False,,OVERHEAD DOOR COMPANY OF GRAND JUNCTION,,1001401,False,8,OHDGRJCT@AOL.COM,False,(970) 254-5395,,,False,,False,False,,,,N,,False,0,0,0,0,0,0,False,WESTERN COLORADO OVERHEAD DOOR COMPANY,False,False,,0,0,0,0,0,0,0,0,0,,GRAND JUNCTION,US,CO,2944 I-70 BUSINESS LOOP 303,81504,06-JAN-22,109393.0,2019.0,False,False,False,,0,0,0,0,0,0,8.0,CO,False,False,,False,False,N,GRAND JUNCTION,US,CO,2944 I-70 BUSINESS LOOP UNIT 303,81504,0,0,False,,,,0,0,0,0,0,0,0,0,0,8,0,0,(970) 245-5000,,,7,0,0,0,0,0,False,False,600,,0,0,0,0,0,0,False,False,False,False,False,False,False
1,29-JAN-02,,False,,,C,False,False,False,,PETE SHIRLEY TRUCKING,,1001402,False,1,GRANNYZ@MAIL.TDS.NET,False,,,,False,,False,False,,,,N,,False,0,0,0,0,0,0,False,PETER M SHIRLEY,False,False,True,0,0,0,0,0,0,0,0,0,,WILLARD,US,WI,N6393 IVES AVENUE,54493,27-JAN-01,70000.0,2000.0,False,False,False,,0,0,0,0,0,0,1.0,WI,False,False,,False,False,N,WILLARD,US,WI,N6393 IVES AVENUE,54493,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(715) 743-3083,,,1,0,0,0,0,0,False,False,601,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,29-JAN-02,,False,,,C,False,False,True,,,,1001403,False,1,TRANSMID@ATT.NET,False,(718) 492-8546,,,False,,False,False,,,,N,,False,0,0,0,0,0,0,False,TRANS MID EAST INC,False,False,,0,0,0,0,0,0,0,0,0,,BROOKLYN,US,NY,5101 2ND AVE,11232,27-FEB-06,159000.0,2006.0,False,False,False,,0,0,0,0,0,0,1.0,NY,False,False,,False,False,N,BROOKLYN,US,NY,5101 2ND AVE,11232,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(718) 492-8500,,,0,0,0,0,0,0,False,False,602,,0,0,0,0,0,0,False,False,False,False,False,False,False
3,29-JAN-02,,False,,,C,False,False,False,,,,1001406,False,3,,False,(262) 886-4372,,,True,,False,False,,,,N,,False,0,0,0,0,0,0,False,MIKE BENBEN INC,False,False,,0,0,0,0,0,0,0,0,0,,STURTEVANT,US,WI,P O DRAWER 567,53177,17-JAN-01,2000.0,2000.0,False,False,False,,0,0,0,0,0,0,1.0,WI,False,False,,False,False,N,STURTEVANT,US,WI,2730 S SYLVANIA AVENUE,53177,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(262) 886-3363,,,0,0,0,0,0,0,False,False,603,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,29-JAN-02,,False,,,C,False,False,False,,,,1001415,False,2,,False,(801) 334-0060,,,False,,False,False,,,,N,,False,0,0,0,0,0,0,False,WOODLAND TECHNOLOGIES INC,False,False,,0,0,0,0,0,0,0,0,0,True,OGDEN,US,UT,1235 W 3050 W SUITE B,84401,29-JAN-02,0.0,,False,False,False,,0,0,0,0,0,0,1.0,UT,False,False,,False,False,N,OGDEN,US,UT,1235 W 3050 S SUITE B,84401,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(801) 334-0060,,,0,0,0,0,0,0,False,False,604,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,29-JAN-02,,False,,,C,False,False,False,,,,1001424,False,4,,False,,,,False,,False,False,,,,N,,False,0,0,0,0,0,0,False,ALLEN ENTERPRISES,False,False,,0,0,0,0,0,0,0,0,0,,OGDEN,US,UT,2191 S 3500W,84401,29-JAN-02,0.0,,False,False,True,,0,0,0,0,0,0,1.0,UT,False,False,,False,False,N,OGDEN,US,UT,2191 S 3500 W,84401,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(801) 731-0692,,,2,0,0,1,0,0,False,False,605,,0,0,0,0,0,0,False,False,False,False,False,False,False
6,29-JAN-02,,False,,,C,False,False,False,,DJOCK TRUCKING,,1001425,False,2,DJOCKCOMPANY@GMAIL.COM,False,,,,False,,False,False,,,,N,,False,0,0,0,0,0,0,False,DJOCK COMPANY,False,False,True,0,0,0,0,0,0,0,0,0,,SIREN,US,WI,23940 3RD AVE,54872,21-SEP-22,60000.0,2022.0,False,False,False,,0,0,0,0,0,0,6.0,WI,False,False,,False,False,N,SIREN,US,WI,7764 TEWALT ROAD,54872,60000,2022,False,,,,0,0,0,0,0,0,0,0,0,3,0,0,(715) 349-5681,,,3,0,0,3,0,0,False,False,606,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
7,29-JAN-02,,False,,,C,False,False,False,,,,1001426,False,4,MSTONNIE@AOL.COM,False,,,,False,,False,False,,,,N,,False,0,0,0,0,0,0,False,A-ONE TRENCHING INC,False,False,,0,0,0,0,0,0,0,0,0,True,BUCHANAN,US,GA,135 SUSIE POPE RD,30113,,0.0,,False,False,False,,0,0,0,0,0,0,1.0,GA,False,False,,False,False,N,BUCHANAN,US,GA,135 SUSIE POPE RD,30113,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(770) 574-8636,,,2,0,0,0,0,0,False,False,607,,0,0,0,0,0,0,False,False,False,False,False,False,False
8,29-JAN-02,,False,,,C,False,False,False,,,,1001428,False,2,,False,(435) 628-6179,,,False,,False,False,True,,,N,,False,0,0,0,0,0,0,False,ADVANCED PROPERTY SERVICES,False,False,,0,0,0,0,0,0,0,0,0,,ST GEORGE,US,UT,PO BOX 910682,84790,29-JAN-02,0.0,,False,False,False,,0,0,0,0,0,0,1.0,UT,False,False,,False,False,N,ST GEORGE,US,UT,2285 E 140 S,84790,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(435) 628-6179,,,0,0,0,0,0,0,False,False,608,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,29-JAN-02,,False,,,C,False,False,False,,STEVE CANNON FARMS,,1001429,False,1,CLAYECANNON@GMAIL.COM,False,,,,False,,False,True,,,,N,,False,0,0,0,0,0,0,False,STEVE E CANNON,False,False,,0,0,0,0,0,0,0,0,0,,ARLINGTON,US,KY,331 COUNTY ROAD 1232,42021,09-SEP-20,10000.0,2020.0,False,False,False,,0,0,0,0,0,0,3.0,KY,False,False,,False,False,N,ARLINGTON,US,KY,331 COUNTY ROAD 1232,42021,10000,2020,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(270) 655-5921,,,3,0,0,3,0,0,False,False,609,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
