,ADD_DATE,BAKED FOODS,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LANDSCAPE MAT.,LAWN CARE,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MINTROOTS,MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,SAND,SAND & GRAVEL,SEPTIC,SEPTIC REFUGE WASTE,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TIRES,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,12-MAR-02,,False,,C,False,False,False,,,1010867,False,10.0,BWOODCARRIE@GMAIL.COM,False,(715) 253-2757,False,,False,False,N,False,0,0,0,0,0,0,False,,,MATSCHE FARMS INC,False,False,,0,0,0,0,0,0,0,0,0,True,BIRNAMWOOD,US,WI,N9035 RIVER RD,54414,04-JUL-22,140000.0,2021.0,False,,,False,False,0,0,0,0,0,0,14,WI,False,False,False,False,N,BIRNAMWOOD,US,WI,N9035 RIVER RD,54414,140000,2021,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(715) 581-0256,,4,0,0,14,0,0,False,False,4600,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
1,12-MAR-02,,False,,C,False,False,False,,LE NOBLE FARMS,1010872,False,2.0,BUCKEYE1910@ICLOUD.COM,False,,False,,True,False,N,False,0,0,0,0,0,0,False,,,VICTOR J LE NOBLE,False,False,,0,0,0,0,0,0,0,0,0,,CLINTONVILLE,US,WI,N11385 COUNTY ROAD Y,54929,15-MAR-21,500.0,2020.0,False,,,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,CLINTONVILLE,US,WI,N11385 COUNTY ROAD Y,54929,500,2020,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(715) 787-3816,,1,0,0,1,0,0,False,False,4601,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
2,12-MAR-02,,False,,C,False,False,False,,BENNETT GRAIN AND LIVESTOCK,1010874,False,1.0,BENNETTFARM0@GMAIL.COM,False,,False,,False,True,N,False,0,0,0,0,0,0,False,,,JOHN E BENNETT,False,False,,0,0,0,0,0,0,0,0,0,,GREENSBURG,US,IN,4263 W COUNTY RD 500 S,47240,24-NOV-21,100.0,2020.0,False,,,False,False,0,0,0,0,0,0,3,IN,False,False,False,False,N,GREENSBURG,US,IN,4263 W COUNTY RD 500 S,47240,100,2020,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(812) 716-0486,,3,0,0,3,0,0,False,False,4602,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
3,12-MAR-02,,False,,C,False,False,False,,,1010875,False,2.0,TARALACOUNT@GMAIL.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,False,,,JOHN R RYBICKI JR,False,True,,0,0,0,0,0,0,0,0,0,,KRAKOW,US,WI,1826 HWY 32,54137,30-SEP-21,20000.0,2021.0,False,,,False,False,0,0,0,0,0,0,6,WI,False,False,False,False,N,KRAKOW,US,WI,1826 HWY 32,54137,20000,2021,False,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(920) 373-0330,,6,0,0,4,1,0,False,False,4603,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
4,12-MAR-02,,False,,C,False,False,False,,,1010878,False,1.0,,True,,False,,False,False,N,False,0,0,0,0,0,0,False,,,ALLEN P DIECK,False,False,,0,0,0,0,0,0,0,0,0,,MARION,US,WI,W13702 MAVIS ROAD,54950,29-NOV-01,3000.0,2000.0,False,,,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,MARION,US,WI,W13702 MAVIS ROAD,54950,0,0,False,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(715) 754-2184,,0,0,0,0,0,0,False,False,4604,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,12-MAR-02,,False,,C,False,False,False,,,1010881,False,1.0,,False,,False,,False,True,N,False,0,0,0,0,0,0,False,,,DEAN W LAUSTED,False,False,,0,0,0,0,0,0,0,0,0,,MENOMONIE,US,WI,N6869 690TH STREET,54751,15-OCT-01,1000.0,2000.0,False,,,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,MENOMONIE,US,WI,N6869 690TH STREET,54751,0,0,False,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(715) 235-5895,,0,0,0,0,0,0,False,False,4605,,0,0,0,0,0,0,False,False,False,False,False,False,False
6,12-MAR-02,,False,,C,False,False,False,,,1010885,False,2.0,BAIERFARMS@WWT.NET,False,,False,,False,True,N,False,0,0,0,0,0,0,False,,,BAIER CREEK FARMS INC,False,False,,0,0,0,0,0,0,0,0,0,,ELMWOOD,US,WI,E2493 S CTY P,54740,07-SEP-12,,,False,,,False,False,0,0,0,0,0,0,1,WI,False,False,False,False,N,ELMWOOD,US,WI,E2493 S CTY P,54740,0,0,False,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(715) 283-4913,,0,0,0,0,0,0,False,False,4606,,0,0,0,0,0,0,False,False,False,False,False,False,False
7,12-MAR-02,,False,,A,False,False,False,,,1010888,False,7.0,ACCOUNTING@CHEFSKINGDOM.COM,False,(845) 371-5045,False,,False,False,N,False,0,0,0,0,0,0,False,,,THE CHEF'S KINGDOM INC,False,False,,0,0,0,0,0,0,0,0,0,,MONSEY,US,NY,PO BOX 1051,10952,16-AUG-22,43036512.0,2021.0,False,,,False,False,0,0,0,0,0,0,11,NY,False,False,False,False,N,CHESTNUT RIDGE,US,NY,1 ALPINE CT,10977,43036512,2021,True,,,,,0,0,0,0,0,0,0,0,0,9,0,0,(845) 371-6666,,2,0,0,2,0,0,False,False,4607,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,12-MAR-02,,False,,C,False,False,False,,RIOS AND SON TRUCKING,1010889,False,2.0,RIOSANDSONTRUCKING@GMAIL.COM,False,,False,,True,False,N,False,0,0,0,0,0,0,False,,,JESUS M RIOS,False,False,,0,0,0,0,0,0,0,0,0,,CORPUS CHRISTI,US,TX,PO BOX 10475,78460,17-OCT-16,1.0,2014.0,False,,,False,False,0,0,0,0,0,0,2,TX,False,False,False,False,N,CORPUS CHRISTI,US,TX,11618 AGUA DULCE CREEK DR UNIT A,78410,0,0,False,,,,,0,0,0,0,0,0,0,0,0,1,0,0,(361) 442-4670,,1,0,0,1,0,0,False,False,4608,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,12-MAR-02,,False,,A,False,False,False,,HOPEWELL AGRI-SERVICES LLC,1010890,False,3.0,AAGAGENT@AOL.COM,False,,False,,False,True,N,False,0,0,0,0,0,0,False,,,PLUS-ULTRA FARMS POULTRY SERVICE INC,False,False,,0,0,0,0,0,0,0,0,0,,PRINCESS ANNE,US,MD,10915A KEMP NURSERY RD,21853,05-MAY-21,180000.0,2020.0,False,,,False,False,0,0,0,0,0,0,4,DE,False,False,False,False,N,PRINCESS ANNE,US,MD,10915 A KEMP NURSERY RD,21853,180000,2020,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,(443) 880-6543,,5,0,0,4,0,0,False,False,4609,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
