,ADD_DATE,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,"GARBAGE, REFUSE, TRASH",GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,SIGN INSTALLATION EQ,SNACK CAKES,STEEL/PIPE/FITTINGS/VALVES ,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,01-JUN-74,False,,A,False,False,False,,,100518,False,4,,False,(205) 956-8251,False,,False,False,N,False,0,0,0,0,0,0,False,EMPIRE PIPE AND SUPPLY COMPANY,False,False,,0,0,0,0,0,0,0,0,0,,BIRMINGHAM,US,AL,P O BOX 101149,35210-6149,25-JUL-22,700000.0,2021.0,False,,False,False,0,0,0,0,0,0,16.0,AL,False,False,False,False,N,BIRMINGHAM,US,AL,2301 ALTON RD,35210-3701,700000,2021,False,,,True,0,0,0,0,0,0,0,0,0,4,10,0,(205) 956-1010,0,4,0,0,2,0,False,False,2300,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
1,18-FEB-02,False,,C,False,False,False,,,1005180,False,6,JENNIFER@POWESSTEEL.COM,False,(602) 454-8828,False,,False,False,N,False,0,0,0,0,0,0,False,POWERS STEEL & WIRE PRODUCTS INC,False,False,,0,0,0,0,0,0,0,0,0,,PHOENIX,US,AZ,4118 E ELWOOD ST,85040,29-OCT-07,,,False,True,False,False,0,0,0,0,0,0,6.0,AZ,False,False,False,False,N,PHOENIX,US,AZ,4118 E ELWOOD ST,85040,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(602) 437-1160,28,0,0,6,0,0,False,False,2301,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,18-FEB-02,False,,C,False,False,False,True,,1005181,False,1,,False,,False,,False,False,N,False,0,0,0,0,0,0,False,DONOVAH STEELE,False,False,,0,0,0,0,0,0,0,0,0,,WARNER ROBINS,US,GA,108 LUSTER COURT,31088,,0.0,,False,,False,False,0,0,0,0,0,0,1.0,GA,False,False,False,False,N,WARNER ROBINS,US,GA,108 LUSTER COURT,31088,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(478) 953-6168,0,0,0,0,0,0,False,False,2302,,0,0,0,0,0,0,False,False,False,False,False,False,False
3,18-FEB-02,False,,C,False,False,False,,,1005183,False,6,LCONE@BAYPORTVALVE.COM,False,(863) 425-0215,False,,True,False,N,False,0,0,0,0,0,0,False,BAY PORT VALVE & FITTING INC,False,False,,0,0,0,0,0,0,0,0,0,,MULBERRY,US,FL,2295 SR 37 SOUTH,33860,17-AUG-20,250000.0,2020.0,False,,False,False,0,0,0,0,0,0,6.0,FL,False,False,False,False,N,MULBERRY,US,FL,2295 SR 37 SOUTH,33860,250000,2020,False,,,,0,0,0,0,0,0,0,0,0,0,5,0,(863) 425-0023,1,0,0,0,1,0,False,False,2303,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
4,18-FEB-02,False,,C,False,False,False,,,1005185,False,8,KATIE@SMITHSOD.NET,False,(386) 755-9008,False,,False,False,N,False,0,0,0,0,0,0,False,SMITH & SON'S SOD CO INC,False,False,,0,0,0,0,0,0,0,0,0,True,LAKE BUTLER,US,FL,4661 W STATE ROAD 238,32054,28-MAR-22,112000.0,2021.0,False,,False,False,0,0,0,0,0,0,9.0,FL,False,False,False,False,N,LAKE BUTLER,US,FL,4661 W STATE ROAD 238,32054,112000,2021,False,,,,0,0,0,0,0,0,0,0,0,3,0,0,(386) 755-4328,5,0,0,5,1,0,False,False,2304,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
5,19-FEB-02,False,,C,False,False,False,,,1005188,False,2,DWAUTO@HOTMAIL.COM,False,(580) 421-9537,False,,True,False,N,False,0,0,0,0,0,0,False,PENNINGTON TRANSPORTATION INC,False,False,,0,0,0,0,0,0,0,0,0,,ADA,US,OK,9616 STATE HWY 19,74820,12-AUG-22,1.0,2021.0,False,,False,False,0,0,0,0,0,0,2.0,OK,False,False,False,False,N,ADA,US,OK,9616 STATE HWY 19,74820,1,2021,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(580) 272-3441,7,0,0,1,1,0,False,False,2305,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
6,19-FEB-02,False,,C,False,False,False,,,1005193,False,4,MAIL@WOODARDCONSTRUCTION.NET,False,(912) 285-8097,False,,False,False,N,False,0,0,0,0,0,0,False,WOODARD CONST CO INC,False,False,,0,0,0,0,0,0,0,0,0,True,WAYCROSS,US,GA,3109 MEMORIAL DRIVE,31503-0921,22-APR-21,5000.0,2021.0,False,,False,False,0,0,0,0,0,0,3.0,GA,False,False,False,False,N,WAYCROSS,US,GA,3109 MEMORIAL DRIVE,31503-0921,5000,2021,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(912) 285-8004,1,0,0,1,0,0,False,False,2306,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
7,19-FEB-02,False,,A,False,False,False,,,1005195,False,23,TOM.FREELAND@STAGELINEEXPRESS.COM,False,(616) 837-5086,False,,True,False,N,False,0,0,0,0,0,0,False,STAGELINE EXPRESS INC,False,False,,0,0,0,0,0,0,0,0,0,,COOPERSVILLE,US,MI,140 NORTH 64TH STREET,49404,06-APR-22,2623780.0,2021.0,False,,False,False,0,0,0,0,0,0,28.0,MI,False,False,False,False,N,COOPERSVILLE,US,MI,140 NORTH 64TH STREET,49404,2623780,2021,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(616) 837-8829,31,0,0,28,0,0,False,False,2307,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
8,19-FEB-02,False,,A,False,False,False,,,1005201,False,1,ROBBIEYOW@YMAIL.COM,False,,False,,False,False,N,False,0,0,0,0,0,0,False,YOW COMPANY,False,False,,0,0,0,0,0,0,0,0,0,,LAKE CORMORANT,US,MS,7919 MISTY MEADOW DR,38641,14-FEB-22,15000.0,2021.0,False,,False,False,0,0,0,0,0,0,1.0,MS,False,False,False,False,N,LAKE CORMORANT,US,MS,7919 MISTY MEADOWS DR,38641,15000,2021,False,,True,,0,0,0,0,0,0,0,0,0,1,0,0,(662) 449-0373,0,0,0,0,0,0,False,False,2308,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
9,19-FEB-02,False,True,A,False,False,False,,,1005203,False,4,ADEPASCALE@ERNESTBOCK.COM,False,(215) 677-6571,False,,False,False,N,False,0,0,0,0,0,0,False,ERNEST BOCK & SONS INC,False,False,,0,0,0,0,0,0,0,0,0,,PHILADELPHIA,US,PA,2800 SOUTHAMPTON ROAD,19154,25-FEB-22,25000.0,2021.0,False,,False,False,0,0,0,0,0,0,4.0,PA,False,False,False,False,N,PHILADELPHIA,US,PA,2800 SOUTHAMPTON ROAD,19154,25000,2021,False,,,,0,0,0,0,0,0,0,0,0,4,0,0,(215) 677-2625,0,0,0,0,0,0,False,False,2309,1.0,0,0,0,0,0,0,False,False,False,False,False,False,False
