, LIVE FISH,ADD_DATE,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FIREWORKS,FRESH PRODUCE,FROZEN FOODS,GENERAL FREIGHT,"GRAIN, FEED, HAY",GRAVEL & DIRT,HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LANDSCAPE MATERIALS,LANDSCAPING,LANDSCAPING AND MOWING TOOLS ,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,MEDICAL EQUIPMENT ,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PERNL TLS & PRTS REP,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,ROAD SWEEPING,ROCK & SAND,SOD,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,TOOLS AND EQUIPMENT,TOOLS AND PARTS,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,,12-APR-02,False,,C,False,False,False,,,1019203,False,5.0,DCAPONE972@AOL.COM,False,(203) 853-3646,,False,,False,False,,N,False,0,0,0,0,0,0,False,,,True,D & L PLANT CARE INC,False,False,,0,0,0,0,0,0,0,0,0,,NORWALK,US,CT,7 NEW ST,06855,17-MAR-20,10000,2019.0,False,,,False,False,0,0,0,0,0,0,7.0,CT,False,False,False,False,N,,NORWALK,US,CT,7 NEW STREET,06855,0,0,False,,,,0,0,0,0,0,0,0,0,0,7,0,0,(203) 434-6746,,,2,0,0,0,0,0,False,False,8200,,0,0,0,0,0,0,False,False,False,False,False,False,False
1,,12-APR-02,False,,C,False,False,False,,J LUDY,1019204,False,1.0,,False,,,False,,False,False,,N,False,0,0,0,0,0,0,False,,,,JIM LUDY,False,False,,0,0,0,0,0,0,0,0,0,True,DAYTON,US,MD,5390 GREENBRIDGE ROAD,21036,12-APR-02,0,,False,,,False,False,0,0,0,0,0,0,1.0,MD,False,False,False,False,N,,DAYTON,US,MD,5390 GREENBRIDGE ROAD,21036,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(410) 531-2019,,,1,0,0,1,0,0,False,False,8201,,0,0,0,0,0,0,False,False,False,False,False,False,False
2,,12-APR-02,False,,C,False,False,False,,EMBRICK'S LAWN SERVICE,1019205,False,3.0,EMBRICKSLAWNSERVICE@HOTMAIL.COM,False,,,False,,False,False,,N,False,0,0,0,0,0,0,False,True,,,HAROLD LEE EMBRICK,False,False,,0,0,0,0,0,0,0,0,0,,COMMERCE,US,GA,PO BOX 813,30529,21-DEC-21,39000,2001.0,False,,,False,False,0,0,0,0,0,0,3.0,GA,False,False,False,False,N,,COMMERCE,US,GA,23 GROANING ROCK RD,30530,0,0,False,,,,0,0,0,0,0,0,0,0,0,3,0,0,(706) 335-2571,,,0,0,0,0,0,0,False,False,8202,,0,0,0,0,0,0,False,False,False,False,False,False,False
3,,12-APR-02,False,True,C,False,False,False,,,1019206,False,3.0,,False,(941) 923-0371,,False,,False,False,,N,False,0,0,0,0,0,0,False,,,,WINDOW CRAFTSMEN INC,False,False,,0,0,0,0,0,0,0,0,0,,SARASOTA,US,FL,6031 CLARK CENTER AVE,34238,15-SEP-03,0,,False,,,False,False,0,0,0,0,0,0,5.0,FL,False,False,False,False,N,,SARASOTA,US,FL,6031 CLARK CENTER AVE,34238,0,0,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(941) 922-1844,,,3,0,0,3,0,0,False,False,8203,,0,0,0,0,0,0,False,False,False,False,False,False,False
4,,12-APR-02,False,True,C,False,False,False,,ALLEY CONCRETE CO,1019207,False,2.0,,False,,,False,,False,False,,N,False,0,0,0,0,0,0,False,,,,MARK ALLEY,False,False,,0,0,0,0,0,0,0,0,0,,LINCOLN,US,NE,4440 SOUTH 38TH STREET,68516,,0,,False,,,False,False,0,0,0,0,0,0,2.0,NE,False,False,False,False,N,,LINCOLN,US,NE,4440 SOUTH 38TH STREET,68516,0,0,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(402) 486-3655,,,2,0,0,0,0,0,False,False,8204,,0,0,0,0,0,0,False,False,False,False,False,False,False
5,,12-APR-02,False,,C,False,False,False,,GOOD'S AUTOMOTIVE & WRECKER SERVICE,1019208,False,1.0,,False,,,False,,False,False,,N,False,0,0,0,0,0,0,False,,,,MICKEY GENE GOOD,False,False,,0,0,0,0,0,0,0,0,0,,HAWKINSVILLE,US,GA,RT 5 BOX 20200,31036,,0,,False,,,False,True,0,0,0,0,0,0,1.0,GA,False,False,False,False,N,,HAWKINSVILLE,US,GA,RT 5 BOX 20200 HWY 342 S,31036,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(478) 783-2464,,,0,0,0,0,0,0,False,False,8205,,0,0,0,0,0,0,False,False,False,False,False,False,False
6,,12-APR-02,False,True,C,False,False,False,,ZEGER'S CONSTRUCTION INC,1019211,False,2.0,,False,,,False,,False,False,,N,False,0,0,0,0,0,0,False,,,,CHARLES ZEGERS,False,False,,0,0,0,0,0,0,0,0,0,,GRETNZ,US,NE,22501 RUFF ROAD,68028,,0,,False,,,False,False,0,0,0,0,0,0,,NE,False,False,False,False,N,,GRETNZ,US,NE,22501 RUFF ROAD,68028,0,0,False,,,,0,0,0,0,0,0,0,0,0,0,0,0,(402) 332-5968,,,1,0,0,0,0,0,False,False,8206,,0,0,0,0,0,0,False,False,False,False,False,False,False
7,,12-APR-02,False,,C,False,False,False,,KING AND SONS PLUMBING COMPANY,1019212,False,1.0,,False,,,False,,False,False,,N,False,0,0,0,0,0,0,False,,,,THOMAS Q KING,False,False,,0,0,0,0,0,0,0,0,0,True,LINCOLN,US,NE,3945 RANDOLPH STREET,68510,,0,,False,,,False,False,0,0,0,0,0,0,1.0,NE,False,False,False,False,N,,LINCOLN,US,NE,3945 RANDOLPH STREET,68510,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(402) 486-0606,,,1,0,0,0,0,0,False,False,8207,,0,0,0,0,0,0,False,False,False,False,False,False,False
8,,12-APR-02,False,,C,False,False,False,,,1019213,False,2.0,ROGER@HALLSTRENCHING.COM,False,(770) 784-9483,,False,,False,False,,N,False,0,0,0,0,0,0,False,,,,HALL'S TRENCHING INC,False,False,,0,0,0,0,0,0,0,0,0,True,MANSFIELD,US,GA,732 MARKS RD,30055,07-APR-15,1000,2006.0,False,,,False,False,0,0,0,0,0,0,2.0,GA,False,False,False,False,N,,MANSFIELD,US,GA,732 MARKS RD,30055,0,0,False,,,,0,0,0,0,0,0,0,0,0,2,0,0,(770) 784-9483,,,3,0,0,0,0,0,False,False,8208,,0,0,0,0,0,0,False,False,False,False,False,False,False
9,,12-APR-02,False,,C,False,False,False,,,1019214,False,2.0,,False,,,False,,True,False,,N,False,0,0,0,0,0,0,False,,,,B E & SONS COMPANY LLC,False,False,,0,0,0,0,0,0,0,0,0,,PAPILLION,US,NE,PO BOX 460698,68046-0698,,0,,False,,,False,False,0,0,0,0,0,0,1.0,NE,False,False,False,False,N,,PAPILLION,US,NE,POB 460698,68046-0698,0,0,False,,,,0,0,0,0,0,0,0,0,0,1,0,0,(402) 934-8961,,,0,0,0,0,0,0,False,False,8209,,0,0,0,0,0,0,False,False,False,False,False,False,False
