,ADD_DATE,AGGREGATES,BEVERAGES,BUILDING MATERIALS,CARRIER_OPERATION,CHEMICALS,"COAL, COKE",COMMODITIES DRY BULK,CONSTRUCTION,DBA_NAME,DOT_NUMBER,DRIVE AWAY/TOWAWAY,DRIVER_TOTAL,EMAIL_ADDRESS,FARM SUPPLIES,FAX,FRESH PRODUCE,GENERAL FREIGHT,"GRAIN, FEED, HAY",HM_FLAG,HOUSEHOLD GOODS,Hazmat Cargo Tank Trailers*_OWNED,Hazmat Cargo Tank Trailers*_TERM_LEASED,Hazmat Cargo Tank Trailers*_TRIP_LEASED,Hazmat Cargo Tank Trucks_OWNED,Hazmat Cargo Tank Trucks_TERM_LEASED,Hazmat Cargo Tank Trucks_TRIP_LEASED,INTERMODAL CONTAINERS,LEGAL_NAME,LIQUIDS/GASES,LIVESTOCK,"LOGS, POLES, BEAMS, LUMBER",Limousine 1-8*_OWNED,Limousine 1-8*_TERM_LEASED,Limousine 1-8*_TRIP_LEASED,Limousine 16+_OWNED,Limousine 16+_TERM_LEASED,Limousine 16+_TRIP_LEASED,Limousine 9-15_OWNED,Limousine 9-15_TERM_LEASED,Limousine 9-15_TRIP_LEASED,"MACHINERY, LARGE OBJECTS",MAILING_CITY,MAILING_COUNTRY,MAILING_STATE,MAILING_STREET,MAILING_ZIP,MCS150_DATE,MCS150_MILEAGE,MCS150_MILEAGE_YEAR,MEAT,"METAL; SHEETS, COILS, ROLLS",MOBILE HOMES,MOTOR VEHICLES,Mini-Bus 16+_OWNED,Mini-Bus 16+_TERM_LEASED,Mini-Bus 16+_TRIP_LEASED,Motor Coach_OWNED,Motor Coach_TERM_LEASED,Motor Coach_TRIP_LEASED,NBR_POWER_UNIT,OIC_STATE,OIL FIELD EQUIPMENT,OTHER,PAPER PRODUCTS,PASSENGERS,PC_FLAG,PHY_CITY,PHY_COUNTRY,PHY_STATE,PHY_STREET,PHY_ZIP,PRECAST CONCRETE,RECENT_MILEAGE,RECENT_MILEAGE_YEAR,REFRIGERATED FOOD,"SAND, MULCH",SOD,School Bus 1-8*_OWNED,School Bus 1-8*_TERM_LEASED,School Bus 1-8*_TRIP_LEASED,School Bus 16+_OWNED,School Bus 16+_TERM_LEASED,School Bus 16+_TRIP_LEASED,School Bus 9-15_OWNED,School Bus 9-15_TERM_LEASED,School Bus 9-15_TRIP_LEASED,Straight Trucks_OWNED,Straight Trucks_TERM_LEASED,Straight Trucks_TRIP_LEASED,TELEPHONE,Trailers*_OWNED,Trailers*_TERM_LEASED,Trailers*_TRIP_LEASED,Truck Tractors_OWNED,Truck Tractors_TERM_LEASED,Truck Tractors_TRIP_LEASED,U.S. MAIL,UTILITY,Unnamed: 0,VMT_SOURCE_ID,Van 1-8*_OWNED,Van 1-8*_TERM_LEASED,Van 1-8*_TRIP_LEASED,Van 9-15_OWNED,Van 9-15_TERM_LEASED,Van 9-15_TRIP_LEASED,WATER TANK REPAIR ,WATER WELL,XBUILDING MATERIALS,XCONSTRUCTION,"XGARBAGE, REFUSE, TRASH","XLOGS, POLES, BEAMS, LUMBER","XMACHINERY, LARGE OBJECTS","XMETAL; SHEETS, COILS, ROLLS"
0,21-FEB-02,,False,True,C,False,False,False,,,1006007,False,3,MARK@COSTALNCOUNTERS.NET,False,(508) 539-2357,False,False,False,N,False,0,0,0,0,0,0,False,COASTAL N COUNTERS INC,False,False,,0,0,0,0,0,0,0,0,0,,MASHPEE,US,MA,P O BOX 2040,02649,12-DEC-19,10.0,2018.0,False,,False,False,0,0,0,0,0,0,1,MA,False,False,False,False,N,MASHPEE,US,MA,92 INDUSTRIAL DRIVE #8,02649,,0,0,False,,,0,0,0,0,0,0,0,0,0,1,0,0,(508) 539-3500,0,0,0,0,0,0,False,False,2600,,0,0,0,0,0,0,,False,False,False,False,False,False,False
1,21-FEB-02,,False,,A,False,False,False,,,1006014,False,25,,False,(620) 345-2691,False,True,False,N,False,0,0,0,0,0,0,False,TORTILLA KING INC,False,False,,0,0,0,0,0,0,0,0,0,,MOUNDRIDGE,US,KS,PO BOX 763,67107,23-MAR-21,1073494.0,2020.0,False,,False,False,0,0,0,0,0,0,25,KS,False,False,False,False,N,MOUNDRIDGE,US,KS,249 23RD AVE,67107,,1073494,2020,False,,,0,0,0,0,0,0,0,0,0,0,22,0,(620) 345-2674,4,0,0,0,3,0,False,False,2601,1.0,0,0,0,0,0,0,,False,False,False,False,False,False,False
2,21-FEB-02,,False,,A,False,False,False,,TRANSPORTES TERRESTRES INTERNACIONALES,1006019,False,2,COMTRAJYJ@HOTMAIL.COM,False,,False,True,False,N,False,0,0,0,0,0,0,False,JUAN RIVERA ROJAS,False,False,,0,0,0,0,0,0,0,0,0,,EL PASO,US,TX,12517 CRYSTAL RIDGE,79938,21-SEP-21,13000.0,2020.0,False,,False,False,0,0,0,0,0,0,2,TX,False,False,False,False,N,JUAREZ,MX,CI,NINOS HEROES 2914,32380,,13000,2020,False,,,0,0,0,0,0,0,0,0,0,0,0,0,(656) 143-4033,2,0,0,2,0,0,False,False,2602,1.0,0,0,0,0,0,0,,False,False,False,False,False,False,False
3,21-FEB-02,,False,,B,False,False,False,,,1006025,False,2,BRENNEROIL@FRONTIER.COM,False,,False,False,False,N,False,0,0,0,1,0,0,False,BRENNER OIL CO,True,False,,0,0,0,0,0,0,0,0,0,,LOYAL,US,WI,P O BOX 326,54446,02-JUN-21,40000.0,2020.0,False,,False,False,0,0,0,0,0,0,3,WI,False,False,False,False,N,LOYAL,US,WI,308 E MILL ST,54446,,40000,2020,False,,,0,0,0,0,0,0,0,0,0,2,0,0,(715) 255-8390,0,0,0,0,0,0,False,False,2603,1.0,0,0,0,0,0,0,,False,False,False,False,False,False,False
4,21-FEB-02,,False,,C,False,False,False,True,,1006029,False,1,,False,,False,False,False,N,False,0,0,0,0,0,0,False,BRENTLY W THOMAS,False,False,,0,0,0,0,0,0,0,0,0,,BLOOMINGTON,US,IN,9129 POINTE RETREAT DR,47401,16-MAR-16,,,False,,False,False,0,0,0,0,0,0,1,IN,False,False,False,False,N,BLOOMINGTON,US,IN,9129 POINTE RETREAT DR,47401,,0,0,False,,,0,0,0,0,0,0,0,0,0,1,0,0,(812) 824-3699,0,0,0,0,0,0,False,False,2604,,0,0,0,0,0,0,,False,False,False,False,False,False,False
5,21-FEB-02,,False,,C,False,False,False,,,1006030,False,4,,False,(715) 591-2716,False,False,False,N,False,0,0,0,0,0,0,False,DOINE TRANSPORT INC,False,False,,0,0,0,0,0,0,0,0,0,True,MARSHFIELD,US,WI,10883 COUNTY ROAD A,54449-9607,18-NOV-21,77000.0,2020.0,False,,False,False,0,0,0,0,0,0,6,WI,False,False,False,False,N,MARSHFIELD,US,WI,10883 COUNTY ROAD A,54449-9607,,77000,2020,False,,,0,0,0,0,0,0,0,0,0,4,0,0,(715) 591-8491,2,0,0,2,0,0,False,False,2605,1.0,0,0,0,0,0,0,,False,False,False,False,False,False,False
6,21-FEB-02,,False,,C,False,False,False,,J D EIDSON TRUCKING,1006031,False,1,VEIDSON80@GMAIL.COM,False,,False,True,False,N,False,0,0,0,0,0,0,False,JOHN D EIDSON,False,False,,0,0,0,0,0,0,0,0,0,,CAMDENTON,US,MO,1958 DRY HOLLOW RD,65020,18-DEC-19,200000.0,2018.0,False,,False,False,0,0,0,0,0,0,1,MO,False,False,False,False,N,CAMDENTON,US,MO,1958 DRY HOLLOW RD,65020,,0,0,False,,,0,0,0,0,0,0,0,0,0,1,0,0,(573) 216-2874,0,0,0,0,0,0,False,False,2606,,0,0,0,0,0,0,,False,False,False,False,False,False,False
7,21-FEB-02,,False,,A,False,False,False,,D M FREIGHT,1006032,False,2,DREWMARKWARD@YAHOO.COM,False,(215) 362-3051,False,True,False,N,False,0,0,0,0,0,0,False,ANDREW MARKWARD,False,False,,0,0,0,0,0,0,0,0,0,,LANSDALE,US,PA,568 VALLEY BROOK DR,19446,26-FEB-21,34000.0,2020.0,False,,False,False,0,0,0,0,0,0,2,PA,False,False,False,False,N,LANSDALE,US,PA,568 VALLEY BROOK DR,19446,,34000,2020,False,,,0,0,0,0,0,0,0,0,0,2,0,0,(215) 651-1428,0,0,0,0,0,0,False,False,2607,1.0,0,0,0,0,0,0,,False,False,False,False,False,False,False
8,21-FEB-02,,False,True,C,False,False,False,,,1006033,False,1,,False,,False,False,False,N,False,0,0,0,0,0,0,False,H G CHRISTMAN CONSTRUCTION CO INC,False,False,,0,0,0,0,0,0,0,0,0,,SOUTH BEND,US,IN,PO BOX 4117,46631,21-FEB-02,0.0,,False,,False,False,0,0,0,0,0,0,1,IN,False,False,False,False,N,SOUTH BEND,US,IN,850 S FELLOWS ST,46631,,0,0,False,,,0,0,0,0,0,0,0,0,0,0,0,0,(219) 287-2827,2,0,0,1,0,0,False,False,2608,,0,0,0,0,0,0,,False,False,False,False,False,False,False
9,21-FEB-02,,False,,C,False,False,False,,,1006036,False,1,,False,,False,True,False,N,False,0,0,0,0,0,0,False,GERALD A WILLIAMS & LISA WILLIAMS FAMILY TRUST LLC,False,False,,0,0,0,0,0,0,0,0,0,,MARION,US,IN,4488 S 700 E,46953,28-SEP-12,10000.0,2011.0,False,,False,False,0,0,0,0,0,0,1,IN,False,False,False,False,N,MARION,US,IN,4488 S 700 E,46953,,0,0,False,,,0,0,0,0,0,0,0,0,0,0,0,0,(765) 998-0233,0,1,0,0,1,0,False,False,2609,,0,0,0,0,0,0,,False,False,False,False,False,False,False
